"project","relative_path","file_type","size_bytes","sha256","status","proposed_action","risk"
"NextGenTutors-BeyondInfinity","assets/css/bi-3d.css","css","8579","959AFAF705335DC62DB2197CA77FC704E5EA10C94377D41CDCB845E5E3F6CDCB","DUPLICATE","CONSOLIDATE","low"
"NextGenTutors-BeyondInfinity","assets/css/components.css","css","20561","3BE310ABB8DEC2F5FF43D79D3E31798FFB5A0C432A8DFE40474291C94F2CF5A1","DUPLICATE","CONSOLIDATE","low"
"NextGenTutors-BeyondInfinity","assets/css/content-hubs.css","css","4738","934BBDEE6D64B793D5DFACE89167767F429305ECD4F04D4C6B3656DFFEE0372B","VERIFIED","Retain","low"
"NextGenTutors-BeyondInfinity","assets/css/dashboard-mission.css","css","2619","C0ADE50E52871F69951C92723B23EF654F635A90A4512BC170D37D1AF931AA8E","DUPLICATE","CONSOLIDATE","low"
"NextGenTutors-BeyondInfinity","assets/css/kinetic-bridge.css","css","8070","A4BD21F9E51901468902A65D283042D51008328B34E41DA712E9AB7F6071C007","VERIFIED","Retain","low"
"NextGenTutors-BeyondInfinity","assets/css/kinetic-home.css","css","22361","A25604C0E0B7C78E1C1FDE978944107BF0577BD75C23DC220096EF90CA95733B","DUPLICATE","CONSOLIDATE","low"
"NextGenTutors-BeyondInfinity","assets/css/kinetic-image-hover.css","css","4923","7579A8CA550F423C5C9CB92CDB5475A14BB1CAA7EBDDC223392830CA2490FE9E","DUPLICATE","CONSOLIDATE","low"
"NextGenTutors-BeyondInfinity","assets/css/kinetic-tokens.css","css","1325","2DD31DBE4E961668E1C1B82F2FC0512642D916F0A70C0C9C9F96B60CA66EF5FB","VERIFIED","Retain","low"
"NextGenTutors-BeyondInfinity","assets/css/layout-system.css","css","4045","599CD72A0E29842FABC166888F901F9F293E2821B511B038B21E971993B7445D","DUPLICATE","CONSOLIDATE","low"
"NextGenTutors-BeyondInfinity","assets/css/nav-menu.css","css","5652","F797AE5557FC8D97A6F32C13CA6E25EDEF5C4FDBA2DBB0B4F7A6A27CA5BB8B2A","VERIFIED","Retain","low"
"NextGenTutors-BeyondInfinity","assets/css/nbi-infinity.css","css","11149","29864D93BE03442306176BE71E0823B3D0CB90674750461EBF02FA1DB02E83F8","DUPLICATE","CONSOLIDATE","low"
"NextGenTutors-BeyondInfinity","assets/css/nextgen-beyond-infinity-ui.css","css","8427","B99BB4E0E7B2BB79D8FA68AF6CE4B7958D7874CAF6781DE09175F7734B467185","VERIFIED","Retain","low"
"NextGenTutors-BeyondInfinity","assets/css/ng-ui-booking.css","css","1700","BBDBD6564B1710080DB58159AC38376528953E858C59C66933374D277E1E6401","DUPLICATE","CONSOLIDATE","low"
"NextGenTutors-BeyondInfinity","assets/css/ng-ui-cards.css","css","770","D00495D3F0D859499D4C0E74D11BC339DE9776EB3AB9FEC22FEE14383AC6239E","DUPLICATE","CONSOLIDATE","low"
"NextGenTutors-BeyondInfinity","assets/css/ng-ui-components.css","css","3101","4986390E05868B0014151AD8AC4D294D6FF68F195B0230A768185E6A39F5DE15","DUPLICATE","CONSOLIDATE","low"
"NextGenTutors-BeyondInfinity","assets/css/ng-ui-dashboard.css","css","544","7EB1382983972A31F2F19FF06C88B493CE16DD67C61E96DD3E13DF9C29A85A8E","DUPLICATE","CONSOLIDATE","low"
"NextGenTutors-BeyondInfinity","assets/css/ng-ui-hero.css","css","1077","9A5B5BD0326051E2D44CD05B407D72E77880EFDEDCDBA2BC69D2051AAB45AD9A","DUPLICATE","CONSOLIDATE","low"
"NextGenTutors-BeyondInfinity","assets/css/ng-ui-tokens.css","css","3120","EE204671C4CD1294467655931CDEE02D05B06A7F6A5C69578A6C1CE66A4752FB","VERIFIED","Retain","low"
"NextGenTutors-BeyondInfinity","assets/css/ngc-forms.css","css","623","4374AA7921030DD6B3246C205FEB2B074DD5FD80AC6EDA771CA4E4DC64C7E70C","DUPLICATE","CONSOLIDATE","low"
"NextGenTutors-BeyondInfinity","assets/css/ngc-validation.css","css","3417","2A2169E77EFE49F0AB4F0617982193BE54A68F6193C10AF4DBFF1732D3437038","DUPLICATE","CONSOLIDATE","low"
"NextGenTutors-BeyondInfinity","assets/css/ngt-toast.css","css","708","E8B709DEE9687DA8709BC625FCC9E7CAF21E5C27DBB140E58053AAEA0F2CDC91","DUPLICATE","CONSOLIDATE","low"
"NextGenTutors-BeyondInfinity","assets/css/ngt-wp-bridge.css","css","3543","BFF7B17E5944478BFAB9A39622809C4119605624C3705C345C1967EC9380087F","VERIFIED","Retain","low"
"NextGenTutors-BeyondInfinity","assets/css/options-admin.css","css","423","AB2FBEAD18337E41283EE8BDB4082BE2971B02C9DD549C0000AB258028FBF0A7","DUPLICATE","CONSOLIDATE","low"
"NextGenTutors-BeyondInfinity","assets/css/page-builders.css","css","2255","206227038239AAB91923F30DB7D659493964855952F0B0C4111F7D1E7AAD2015","DUPLICATE","CONSOLIDATE","low"
"NextGenTutors-BeyondInfinity","assets/css/page-composer.css","css","6872","91F108C8FE7F2F760D2F93F8E223BAAFE21D2FF0FDBA53C7FA8E8560D5FD0E75","DUPLICATE","CONSOLIDATE","low"
"NextGenTutors-BeyondInfinity","assets/css/prototype-blend.css","css","3819","7C7E5278FC7CF2C4BA393B66356D8637F71CF0D38C00DCCA61FEADAED724B445","VERIFIED","Retain","low"
"NextGenTutors-BeyondInfinity","assets/css/sections.css","css","16400","4E972EA4AE234B28BC6841BA49D26B912EFEBBAFF4007E08A5B5B90B92CDE7EA","VERIFIED","Retain","low"
"NextGenTutors-BeyondInfinity","assets/css/theme-switcher.css","css","2953","00998A828A8E68991B27C65E307B3F8CA5E2511CEFB56063F96D7601F497CC59","VERIFIED","Retain","low"
"NextGenTutors-BeyondInfinity","assets/css/theme.css","css","33053","2CCBFD9B08D2FDB2EE6AD8296D6216F10C3A09C34B3E4BD6596F3621174365CF","DUPLICATE","CONSOLIDATE","low"
"NextGenTutors-BeyondInfinity","assets/css/motion/01-base.css","css","653","D45093106C3CFD0AB57216076B217D7D9FEBFB2CC29E9C4B923A183AF930134A","DUPLICATE","CONSOLIDATE","low"
"NextGenTutors-BeyondInfinity","assets/css/motion/02-entrance.css","css","1742","48123D21D405EF807BC6CFC05761C3CCA870397A8AE1989C606FAA4EC851C743","DUPLICATE","CONSOLIDATE","low"
"NextGenTutors-BeyondInfinity","assets/css/motion/03-sections.css","css","977","FBA8751C256DB01E1A9337364429ECC67D158317D897F9C0C6C3F7B6CB0D9645","DUPLICATE","CONSOLIDATE","low"
"NextGenTutors-BeyondInfinity","assets/css/motion/04-hover.css","css","1416","05FCDAC569C9413C938461EFD9CFDE204438077D9BBC2BA3246662C2BFB3F403","DUPLICATE","CONSOLIDATE","low"
"NextGenTutors-BeyondInfinity","assets/css/motion/05-parallax.css","css","1069","558C46D4515CDC91925BDB660106446A090782603BC20192159A11660571CC2F","DUPLICATE","CONSOLIDATE","low"
"NextGenTutors-BeyondInfinity","assets/css/motion/06-responsive.css","css","537","2CBA98D6635215C16621CC2E05A14571CB390EDCEEA3EF31307097AE1D1DAE97","DUPLICATE","CONSOLIDATE","low"
"NextGenTutors-BeyondInfinity","assets/css/motion/07-stagger.css","css","970","F82002B3C771A59398B4A348E64E846FE123C22A826B916523F452AFF2B0BF30","DUPLICATE","CONSOLIDATE","low"
"NextGenTutors-BeyondInfinity","assets/css/motion/08-subtle.css","css","832","ADE7F6AE6BF12122A97961E56970794F532AB49D2AD0209AA8AD1EDD277D325F","DUPLICATE","CONSOLIDATE","low"
"NextGenTutors-BeyondInfinity","assets/css/motion/09-theme-bridge.css","css","4444","1890898E7397668030EA8EAC05C17DC937C4D630FF3ED3FDA0C08B36D8115D82","DUPLICATE","CONSOLIDATE","low"
"NextGenTutors-BeyondInfinity","assets/css/skins/beyond-infinity.css","css","1231","46C8D556CDA3BC2E08A0B93FF5588432D6EC9B3CAFA9B3D5899A726908793A0F","VERIFIED","Retain","low"
"NextGenTutors-BeyondInfinity","assets/css/skins/classic-indigo.css","css","1144","CAD614414E95C0916AA590A49B0A08CCE209B9110BDEEAC2CD2F54B089663703","VERIFIED","Retain","low"
"NextGenTutors-BeyondInfinity","assets/css/skins/ngt-marketing.css","css","1323","33C80D73B298DFE19C19A8D2E7731630C33C13F48B37205B1EE0FA0ABA1CA09C","VERIFIED","Retain","low"
"NextGenTutors-BeyondInfinity","assets/css/tokens/base.css","css","953","1E433419E1DD011CD78AB5918374905E8363C7E45DBFC8A9153AD409D96988FB","VERIFIED","Retain","low"
"NextGenTutors-BeyondInfinity","assets/fonts/README.md","markdown","654","B26CF2D48BA6C612865F15CD49E945DFA24D2BFB87B356572A8659CEF01ED154","DUPLICATE","CONSOLIDATE","low"
"NextGenTutors-BeyondInfinity","assets/images/about-feature.jpg","image","15019","A9ED6EA4DDDB34F01FBD83DDD10A5F4696D2B515DFDC20EEB30C055DA82B726A","DUPLICATE","CONSOLIDATE","low"
"NextGenTutors-BeyondInfinity","assets/images/become-tutor.jpg","image","66983","CD782F2A2BA3161EE2ADA63E35410DD0DD1D5899821861FCFC2507B8EA658234","DUPLICATE","CONSOLIDATE","low"
"NextGenTutors-BeyondInfinity","assets/images/cta-bg.jpg","image","42033","F261AEA105502F3F419A7D7472FEE45E30D13B0FA7B0EC5D0E49A0AACBBE52E7","DUPLICATE","CONSOLIDATE","low"
"NextGenTutors-BeyondInfinity","assets/images/guarantee-bg.jpg","image","40827","84C0CE3A633744AB5A86DF0568BB7EE2D6D878C760124C82446104FBA0E73BA8","DUPLICATE","CONSOLIDATE","low"
"NextGenTutors-BeyondInfinity","assets/images/hero-bg.jpg","image","31472","D0B51090365EB217F1AEB2EC69BF8EF48C4048850C479678BC1A6C976062E52D","DUPLICATE","CONSOLIDATE","low"
"NextGenTutors-BeyondInfinity","assets/images/home-video.jpg","image","79020","5C0762E05702AC79415B948E7A4813899A42519FEBE2394F8196205B580E0BB1","DUPLICATE","CONSOLIDATE","low"
"NextGenTutors-BeyondInfinity","assets/images/pricing-bg.jpg","image","34647","5AEA2883CBB18623C969AD5F5579D288B5E226407226A3D237469825B09DE76A","DUPLICATE","CONSOLIDATE","low"
"NextGenTutors-BeyondInfinity","assets/images/README.md","markdown","1044","4798AF365E3C6EC1C82BB51DD060D86946DABCF97B21377606153EE6B3700A8B","DUPLICATE","CONSOLIDATE","low"
"NextGenTutors-BeyondInfinity","assets/images/style-add-ons-reference.png","image","8074","9078E38CB717092671F6893E9B84B9170438C855A27646746FC6FF0C8C4908F4","DUPLICATE","CONSOLIDATE","low"
"NextGenTutors-BeyondInfinity","assets/js/bi-3d.js","js","5182","FE1CA01B4B3B169661BE99AAF716D2402732E174326EFD4B5196C5BD46575398","DUPLICATE","CONSOLIDATE","low"
"NextGenTutors-BeyondInfinity","assets/js/bi-customizer-preview.js","js","1515","6FE6D10CF222A8CE445C1333C34DDEE4166997935BA1310BC6F6F3C520204F7F","VERIFIED","Retain","low"
"NextGenTutors-BeyondInfinity","assets/js/bi-options-admin.js","js","584","C0F9429E536F1803EAFB96E84A1FBAF8607A9A53DEEBA1B0769CEFC1ED53FE2A","DUPLICATE","CONSOLIDATE","low"
"NextGenTutors-BeyondInfinity","assets/js/content-hubs.js","js","1407","9B9300F793E8A344BF3BE9AA0EFF8A04453278E3164D732AD52F2AAB41D7631D","VERIFIED","Retain","low"
